no,name,tel,地址,type,remark,reservation,own_expense,division,notice,twd97x,twd97y,wgs84ax,wgs84ay
3.53E+09,三樹金鶯診所,2680-7101,新北市樹林區南園里學成路600號,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,是,小兒科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察633分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,288557.48,2759832.8,121.381815,24.945838
3.53E+09,千歲小兒科診所,8687-1390,新北市樹林區千歲街47號1樓,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,否,小兒科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察634分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,292941.99,2765444.86,121.425405,24.996388
3.53E+09,大樹診所,2681-8919,新北市樹林區鎮前街19號,診所,如要接種，請先致電詢問疫苗庫存,現場,是,內科、家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察635分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,292993.54,2765023.85,121.425903,24.992585
1.53E+09,仁愛醫院,2683-4567,新北市樹林區文化街9號,地區醫院,如要接種，請先致電詢問疫苗庫存,網路、電話、現場,否,內科、家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察636分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,292403.4,2764424.17,121.420039,24.987188
3.53E+09,北大診所,2668-9661,新北市樹林區柑園里學成路507號,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,是,家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察637分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,288314.28,2759895.67,121.379408,24.946412
3.53E+09,立康診所,2686-3898,新北市樹林區日新街39號,診所,如要接種，請先致電詢問疫苗庫存,現場,是,家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察638分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,292680.42,2764970.33,121.4228,24.992111
3.53E+09,何廷裕小兒科,2675-6789,新北市樹林區日新街34號,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,是,小兒科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察639分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,292672.07,2765004.41,121.422718,24.992419
3.53E+09,念生耳鼻喉科診所,2675-1099,新北市樹林區文化街45號1樓,診所,如要接種，請先致電詢問疫苗庫存,現場,是,耳鼻喉科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察640分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,292204.83,2764551.83,121.418076,24.988346
3.53E+09,承恩診所,8970-5297,新北市樹林區學勤路597號1樓,診所,如要接種，請先致電詢問疫苗庫存,現場,是,小兒科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察641分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,288800.13,2760189.53,121.384227,24.949053
3.53E+09,松禾診所,2685-1820,新北市樹林區樹北里鎮前街58號2樓,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,否,內科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察642分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,292976.34,2765024.91,121.425733,24.992595
