seqno,區域,hosp_name,地址,緯度,經度,type,time,vaccine
78,板牆區,蔡明志小兒專科診所,新北市板橋區雨農路56號,25.0242209,121.4608338,合約診所,"星期一至日上午8:00-12:00、下午15:00-18:00、晚上18:30-21:30
",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
79,永和區,天主教耕莘醫療財團法人永和耕莘醫院,新北市永和區中興街80號Ｂ1-7樓、國光路123號Ｂ3-11樓,25.0118281,121.5179183,合約診所,"週一至週五下午14：00-16：30
MMR&VAR於週三下午固定接種
◎卡介苗於院內公告時間集中週五接種",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗、B型肝炎免疫球蛋白
80,永和區,王英傑小兒科診所,新北市永和區中山路1段158號,25.0057564,121.5061052,合約診所,週一至週六上午8:30-12:00、下午15:00-18:00、晚上18:30-22:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
81,永和區,御生婦幼診所,新北市永和區中山路1段277號1、2樓及275號2、3樓,25.0103251,121.5145353,合約診所,"週一至週六09:00-12:00
◎卡介苗採預約",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗、B型肝炎免疫球蛋白
82,永和區,吳銅坤婦產科診所,新北市永和區中山路1段35號.31號2．3樓之1,25.0103251,121.5145353,合約診所,接種院內生產嬰幼兒,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、B型肝炎免疫球蛋白
83,永和區,洪碩壎小兒科診所,新北市永和區中正路157號1樓,24.9985135,121.5163421,合約診所,"週一至週日上午08:30-12:00、下午15:00~18:00、晚上18:30-21:30
(週四及日午晚休診)",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
84,永和區,唐小兒科診所,新北市永和區中正路436，438號1，2樓,25.0025722,121.517776,合約診所,"週一至週六早上7:00-12:00(週六08:00開始)、下午13:00-16:00、晚上17:00-21:30
週日及例假日上午8:00-12:00、晚上17:00-21:30",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
85,永和區,吳志仁診所,新北市永和區仁愛路147號1樓,25.0128511,121.511359,合約診所,"週一至週五上午8:30-12:00、下午15:00-18:00、晚上18:45-21:30
週六上午08:30-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
86,永和區,楊安診所,新北市永和區仁愛路303號1樓,25.0079711,121.5037177,合約診所,"週一至週五上午8:30-12:00、下午17:30-21:30
週六上午08:30-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗
87,永和區,永愛診所,新北市永和區永平路282之1號1樓及286之1號2樓,25.0118969,121.5079362,合約診所,"週一至週五上午8:20-12:00、下午16:00-18:30、晚上19:00-21:30
週六上午8:20-12:00
週日上午8:20-12:00、下午18:00-21:00
◎卡介苗採預約",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗
